"Source Name","Live Substance Count","On-Hold Substance Count","Live BioAssay Count","On-Hold BioAssay Count","Linked Substance Count","Annotation Count","Classification Count","Source Category","Source URL","DSN","Organization","Contact Full Name","Address","City","State","Postcode","Country","Last Updated","Description","License URL","License Note","Pathway Count"
"001Chemical",155730,"","","","","","","Chemical Vendors","https://www.001chemical.com",23188,"001CHEMICAL","001 Chemical","Joinhands Sci Park, High-tech Industrial Development Zone","Hangzhou","Zhejiang",310053,"China","2021/11/05","001Chemical is a high quality research chemicals (building blocks) global provider of enabling chemistry products and contract research services for small molecule drug discovery, chemical biology, and agrochemical discovery programs.","","",""
"3A SpeedChemical Inc",4931,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.speedchemical.com",10636,"3A SpeedChemical Inc","Wilson Tean","R901, Suite 12, 1318 Changlin Road, Baoshan District","Shanghai","Shanghai",200443,"China","2015/04/06","","","",""
"3B Scientific (Wuhan) Corp",89740,"","","","","","","Chemical Vendors","http://www.3bsc.com",20980,"3B Scientific (Wuhan) Corporation Limited","Feng Chen","Xudong dajie","Wuhan","Hubei",430070,"China","2020/05/20","3B Scientific Corporation(Wuhan) provides fine chemicals, natural products, pharmaceutical intermediates, and APIs for major pharmaceutical and biotech companies worldwide, and it has over 20,000 regular products in its catalog.","","",""
"3WAY PHARM INC",118215,"","","","","","","Chemical Vendors","http://www.3wpharm.com/",24479,"3WAY PHARM INC","Yonghong Liang","Building 4-401, No. 1688, Wangfan Road, Minhang District","Shanghai","Shanghai",201112,"China","2020/12/08","3Waypharm Inc. supply a wide range of boronic acids, pyridines, quinolines, indoles, oxazoles, ketones, esters, benzenes, quinazolines, acids, pyrimidines, aldehydes, amines, amino acids, chiral building blocks, heterocyclic compounds and other active pharmaceutical ingredients compounds.","","",""
"4C Pharma Scientific Inc",20187,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.4cpharmainc.com",10593,"4C Pharma Scientific Inc","Michael Hsiung","21 Clairfields Drive West","Guelph","Ontario","N1G 5J2","Canada","2015/03/04","","","",""
"A&J Pharmtech CO., LTD.",184005,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.ajpharmtech.com/",5545,"A&J Pharmtech CO., LTD.","Michael Li","538 Xushi Road , Suzhou wuzhong District, Jiangsu","suzhou","jiangsu",215164,"China","2015/01/07","A&J pharmtech offers premier R&D services for pharmaceutical & biotech companies from North America, Europe and Japan. Driven by its technical strength and expertise, A&J pharmtech has demonstrated a strong track record of helping its customers to advance their drug discovery projects in a timely and cost effective manner. With more than 20,000 sq feet of lab and office space as well as major analytical equipments including 400MHz NMR, LC-MS spectrometer and analytical/preparative HPLC, etc, A&J pharmtech offers R&D service in three major areas: medicine chemistry, process R&D and conjugation chemistry.
A&J pharmtech offers a unique value to clients through flexible and innovative models for partnerships.","","",""
"A1 BioChem Labs",44200,"","","","","","","Chemical Vendors","https://www.a1biochemlabs.com/",10602,"A1 BioChem Labs","EJ Lawton","5598 Marvin K Moss Lane","Wilmington","NC",28409,"United States","2022/07/19","A1 BioChem Labs provides chemistry services to pharmaceutical companies, biotech entities and academics. It offers custom synthesis, catalog compounds, and worldwide chemical sourcing services to large pharmaceutical and agrochemical companies, biotechs, universities, and research institutes.","","",""
"A2B Chem",643067,"","","","","","","Chemical Vendors","http://www.a2bchem.com",23562,"A2B Chem LLC","Nick Tam","9823 Pacific Heights Blvd., Suite F-2","San Diego","CA",92121,"United States","2021/10/01","A2B Chem LLC, with an office in San Diego and manufacturing in China, is a worldwide supplier of catalog building blocks. A2B Chem endeavors to provide products with assured quality and competitive price. Products in stock can be shipped out within 1 to 3 business days from order.","","",""
"A2Z Chemical",8470,"","","","","","","Chemical Vendors","http://www.a2zchemical.com",10619,"WBR Laboratories, Inc.","Jim Zhu","9891 Irvine Center Dr. Suite 200","Irvine","CA",92618,"United States","2016/03/09","","","",""
"AA BLOCKS",649023,"","","","","","","Chemical Vendors","http://www.aablocks.com",21014,"AA BLOCKS LLC","James Wu","11575 Sorrento Valley Road, Suite 209","San Diego","CA",92121,"United States","2021/09/09","AA BLOCKS offers a comprehensive range of building blocks and specially designed scaffolds to support R&D.","","",""
